pysat base3 N=86: SAT (0.2s)
pysat base3 N=87: UNSAT (0.2s), initial core: 393 APs
minimal (irreducible) core: 245 APs
  x= 54 d=  5 terms=[54, 59, 64, 69] blocks=[3, 3, 3, 3]
  x= 42 d=  9 terms=[42, 51, 60, 69] blocks=[3, 3, 3, 3]
  x= 58 d=  4 terms=[58, 62, 66, 70] blocks=[3, 3, 3, 3]
  x= 53 d=  6 terms=[53, 59, 65, 71] blocks=[3, 3, 3, 3]
  x= 32 d= 13 terms=[32, 45, 58, 71] blocks=[3, 3, 3, 3]
  x= 29 d= 14 terms=[29, 43, 57, 71] blocks=[3, 3, 3, 3]
  x=  2 d= 23 terms=[2, 25, 48, 71] blocks=[0, 2, 3, 3]
  x= 33 d= 13 terms=[33, 46, 59, 72] blocks=[3, 3, 3, 3]
  x= 30 d= 14 terms=[30, 44, 58, 72] blocks=[3, 3, 3, 3]
  x= 27 d= 15 terms=[27, 42, 57, 72] blocks=[3, 3, 3, 3]
  x=  3 d= 23 terms=[3, 26, 49, 72] blocks=[1, 2, 3, 3]
  x= 34 d= 13 terms=[34, 47, 60, 73] blocks=[3, 3, 3, 3]
  x= 31 d= 14 terms=[31, 45, 59, 73] blocks=[3, 3, 3, 3]
  x= 32 d= 14 terms=[32, 46, 60, 74] blocks=[3, 3, 3, 3]
  x= 29 d= 15 terms=[29, 44, 59, 74] blocks=[3, 3, 3, 3]
  x=  2 d= 24 terms=[2, 26, 50, 74] blocks=[0, 2, 3, 3]
  x= 66 d=  3 terms=[66, 69, 72, 75] blocks=[3, 3, 3, 3]
  x= 36 d= 13 terms=[36, 49, 62, 75] blocks=[3, 3, 3, 3]
  x= 33 d= 14 terms=[33, 47, 61, 75] blocks=[3, 3, 3, 3]
  x= 27 d= 16 terms=[27, 43, 59, 75] blocks=[3, 3, 3, 3]
  x= 49 d=  9 terms=[49, 58, 67, 76] blocks=[3, 3, 3, 3]
  x= 37 d= 13 terms=[37, 50, 63, 76] blocks=[3, 3, 3, 3]
  x= 34 d= 14 terms=[34, 48, 62, 76] blocks=[3, 3, 3, 3]
  x= 31 d= 15 terms=[31, 46, 61, 76] blocks=[3, 3, 3, 3]
  x= 28 d= 16 terms=[28, 44, 60, 76] blocks=[3, 3, 3, 3]
  x=  1 d= 25 terms=[1, 26, 51, 76] blocks=[0, 2, 3, 3]
  x= 38 d= 13 terms=[38, 51, 64, 77] blocks=[3, 3, 3, 3]
  x= 35 d= 14 terms=[35, 49, 63, 77] blocks=[3, 3, 3, 3]
  x= 36 d= 14 terms=[36, 50, 64, 78] blocks=[3, 3, 3, 3]
  x= 33 d= 15 terms=[33, 48, 63, 78] blocks=[3, 3, 3, 3]
  x= 37 d= 14 terms=[37, 51, 65, 79] blocks=[3, 3, 3, 3]
  x= 34 d= 15 terms=[34, 49, 64, 79] blocks=[3, 3, 3, 3]
  x= 53 d=  9 terms=[53, 62, 71, 80] blocks=[3, 3, 3, 3]
  x= 35 d= 15 terms=[35, 50, 65, 80] blocks=[3, 3, 3, 3]
  x= 29 d= 17 terms=[29, 46, 63, 80] blocks=[3, 3, 3, 3]
  x= 75 d=  2 terms=[75, 77, 79, 81] blocks=[3, 3, 3, 4]
  x= 72 d=  3 terms=[72, 75, 78, 81] blocks=[3, 3, 3, 4]
  x= 69 d=  4 terms=[69, 73, 77, 81] blocks=[3, 3, 3, 4]
  x= 54 d=  9 terms=[54, 63, 72, 81] blocks=[3, 3, 3, 4]
  x= 18 d= 21 terms=[18, 39, 60, 81] blocks=[2, 3, 3, 4]
  x= 15 d= 22 terms=[15, 37, 59, 81] blocks=[2, 3, 3, 4]
  x= 76 d=  2 terms=[76, 78, 80, 82] blocks=[3, 3, 3, 4]
  x= 73 d=  3 terms=[73, 76, 79, 82] blocks=[3, 3, 3, 4]
  x= 67 d=  5 terms=[67, 72, 77, 82] blocks=[3, 3, 3, 4]
  x= 55 d=  9 terms=[55, 64, 73, 82] blocks=[3, 3, 3, 4]
