# 2497 distinct multisets of maximal run lengths
# count  multiset
17 5,5,3,3,3,2,2,2,2,2,2,2,2,2,2
17 6,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2
17 6,4,3,3,3,3,3,2,2,2,2,2,2,2,2
17 6,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2
17 7,3,3,3,2,2,2,2,2,2,2,2,2
17 7,3,3,3,3,2,2,2,2,2,2,2,2,2,2
17 8,3,3,3,2,2,2,2,2,2,2,2,2,2
16 4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
16 4,4,2,2,2,2,2,2,2,2,2,2
16 4,4,2,2,2,2,2,2,2,2,2,2,2
16 5,4,2,2,2,2,2,2,2,2,2,2,2
16 5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
16 6,3,3,3,2,2,2,2,2,2,2,2
16 6,4,3,2,2,2,2,2,2,2,2,2
16 6,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2
16 6,4,4,3,3,3,2,2,2,2,2,2,2,2
16 7,3,3,3,3,2,2,2,2,2,2,2,2,2
16 7,4,3,3,2,2,2,2,2,2,2,2,2
15 2,2,2,2,2,2,2,2,2,2,2,2,2,2
15 4,3,2,2,2,2,2,2,2,2
15 4,4,4,3,3,3,3,3,2,2,2,2,2,2,2
15 5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
15 5,3,3,3,3,3,3,2,2,2,2,2,2,2
15 5,4,2,2,2,2,2,2,2,2,2,2,2,2
15 5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
15 5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
15 5,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2
15 5,5,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
15 6,4,4,3,2,2,2,2,2,2,2,2,2,2,2
15 7,4,3,2,2,2,2,2,2,2,2,2,2
15 7,4,3,3,2,2,2,2,2,2,2,2,2,2
15 7,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2
15 8,4,3,3,2,2,2,2,2,2,2,2,2,2,2
15 8,4,3,3,3,2,2,2,2,2,2,2,2,2,2
14 3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
14 3,3,3,3,3,3,3,2,2,2,2,2,2
14 4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
14 4,4,3,3,3,3,3,3,2,2,2,2,2,2
14 4,4,4,3,2,2,2,2,2,2,2,2
14 5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
14 5,3,3,3,2,2,2,2,2,2,2
14 5,4,3,3,3,3,2,2,2,2,2,2
14 5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
14 5,4,4,3,3,2,2,2,2,2,2,2
14 5,4,4,3,3,3,3,3,2,2,2,2,2,2
14 5,5,3,3,3,3,2,2,2,2,2,2,2,2,2,2
14 6,3,3,2,2,2,2,2,2,2,2
14 6,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
14 6,3,3,3,3,3,2,2,2,2,2,2,2,2
14 6,4,4,3,3,2,2,2,2,2,2,2,2,2
14 6,4,4,3,3,3,3,2,2,2,2,2,2,2
14 7,3,3,3,2,2,2,2,2,2,2,2
14 7,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
14 7,4,3,2,2,2,2,2,2,2,2,2,2,2,2
14 7,4,3,3,3,3,2,2,2,2,2,2,2,2
14 8,3,3,2,2,2,2,2,2,2,2,2,2,2
13 3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
13 3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
13 3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
13 3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
13 4,4,4,3,3,2,2,2,2,2,2,2
13 4,4,4,3,3,3,3,2,2,2,2,2,2
